template_masked	raw	eng_raw	identity	number	category	type
жених - самый [M].	[I] - самый [M].	[I] is the most [M].	жених	singular	male	descriptive_adjective
жених - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	жених	singular	male	descriptive_adjective
жених - великий [M].	[I] - великий [M].	[I] is a great [M].	жених	singular	male	descriptive_adjective
жених известен как [M].	[I] известен как [M].	[I] is known as a [M].	жених	singular	male	descriptive_adjective
жених - это просто [M].	[I] - это просто [M].	[I] is a [M].	жених	singular	male	descriptive_adjective
ее парень - самый [M].	[I] - самый [M].	[I] is the most [M].	ее парень	singular	male	descriptive_adjective
ее молодой человек - самый [M].	[I] - самый [M].	[I] is the most [M].	ее молодой человек	singular	male	descriptive_adjective
ее парень - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	ее парень	singular	male	descriptive_adjective
ее молодой человек - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	ее молодой человек	singular	male	descriptive_adjective
ее парень - великий [M].	[I] - великий [M].	[I] is a great [M].	ее парень	singular	male	descriptive_adjective
ее молодой человек - великий [M].	[I] - великий [M].	[I] is a great [M].	ее молодой человек	singular	male	descriptive_adjective
ее парень известен как [M].	[I] известен как [M].	[I] is known as a [M].	ее парень	singular	male	descriptive_adjective
ее молодой человек известен как [M].	[I] известен как [M].	[I] is known as a [M].	ее молодой человек	singular	male	descriptive_adjective
ее парень - это просто [M].	[I] - это просто [M].	[I] is a [M].	ее парень	singular	male	descriptive_adjective
ее молодой человек - это просто [M].	[I] - это просто [M].	[I] is a [M].	ее молодой человек	singular	male	descriptive_adjective
мужчины - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	мужчины	plural	male	descriptive_adjective
мужчины - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	мужчины	plural	male	descriptive_adjective
мужчины - великие [M].	[I] - великие [M].	[I] are great [M].	мужчины	plural	male	descriptive_adjective
мужчины известны как [M].	[I] известны как [M].	[I] are known as [M].	мужчины	plural	male	descriptive_adjective
мужчины - это просто [M].	[I] - это просто [M].	[I] are [M].	мужчины	plural	male	descriptive_adjective
сыночки - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	сыночки	plural	male	descriptive_adjective
сыночки - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	сыночки	plural	male	descriptive_adjective
сыночки - великие [M].	[I] - великие [M].	[I] are great [M].	сыночки	plural	male	descriptive_adjective
сыночки известны как [M].	[I] известны как [M].	[I] are known as [M].	сыночки	plural	male	descriptive_adjective
сыночки - это просто [M].	[I] - это просто [M].	[I] are [M].	сыночки	plural	male	descriptive_adjective
отцы - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	отцы	plural	male	descriptive_adjective
папы - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	папы	plural	male	descriptive_adjective
отцы - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	отцы	plural	male	descriptive_adjective
папы - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	папы	plural	male	descriptive_adjective
отцы - великие [M].	[I] - великие [M].	[I] are great [M].	отцы	plural	male	descriptive_adjective
папы - великие [M].	[I] - великие [M].	[I] are great [M].	папы	plural	male	descriptive_adjective
отцы известны как [M].	[I] известны как [M].	[I] are known as [M].	отцы	plural	male	descriptive_adjective
папы известны как [M].	[I] известны как [M].	[I] are known as [M].	папы	plural	male	descriptive_adjective
отцы - это просто [M].	[I] - это просто [M].	[I] are [M].	отцы	plural	male	descriptive_adjective
папы - это просто [M].	[I] - это просто [M].	[I] are [M].	папы	plural	male	descriptive_adjective
сыночки - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	сыночки	plural	male	descriptive_adjective
сыночки - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	сыночки	plural	male	descriptive_adjective
сыночки - великие [M].	[I] - великие [M].	[I] are great [M].	сыночки	plural	male	descriptive_adjective
сыночки известны как [M].	[I] известны как [M].	[I] are known as [M].	сыночки	plural	male	descriptive_adjective
сыночки - это просто [M].	[I] - это просто [M].	[I] are [M].	сыночки	plural	male	descriptive_adjective
мальчики - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	мальчики	plural	male	descriptive_adjective
мальчики - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	мальчики	plural	male	descriptive_adjective
мальчики - великие [M].	[I] - великие [M].	[I] are great [M].	мальчики	plural	male	descriptive_adjective
мальчики известны как [M].	[I] известны как [M].	[I] are known as [M].	мальчики	plural	male	descriptive_adjective
мальчики - это просто [M].	[I] - это просто [M].	[I] are [M].	мальчики	plural	male	descriptive_adjective
люди мужского пола - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	люди мужского пола	plural	male	descriptive_adjective
люди мужского пола - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	люди мужского пола	plural	male	descriptive_adjective
люди мужского пола - великие [M].	[I] - великие [M].	[I] are great [M].	люди мужского пола	plural	male	descriptive_adjective
люди мужского пола известны как [M].	[I] известны как [M].	[I] are known as [M].	люди мужского пола	plural	male	descriptive_adjective
люди мужского пола - это просто [M].	[I] - это просто [M].	[I] are [M].	люди мужского пола	plural	male	descriptive_adjective
братья - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	братья	plural	male	descriptive_adjective
братья - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	братья	plural	male	descriptive_adjective
братья - великие [M].	[I] - великие [M].	[I] are great [M].	братья	plural	male	descriptive_adjective
братья известны как [M].	[I] известны как [M].	[I] are known as [M].	братья	plural	male	descriptive_adjective
братья - это просто [M].	[I] - это просто [M].	[I] are [M].	братья	plural	male	descriptive_adjective
дяди - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	дяди	plural	male	descriptive_adjective
дяди - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	дяди	plural	male	descriptive_adjective
дяди - великие [M].	[I] - великие [M].	[I] are great [M].	дяди	plural	male	descriptive_adjective
дяди известны как [M].	[I] известны как [M].	[I] are known as [M].	дяди	plural	male	descriptive_adjective
дяди - это просто [M].	[I] - это просто [M].	[I] are [M].	дяди	plural	male	descriptive_adjective
юноши - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	юноши	plural	male	descriptive_adjective
молодые парни - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	молодые парни	plural	male	descriptive_adjective
юноши - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	юноши	plural	male	descriptive_adjective
молодые парни - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	молодые парни	plural	male	descriptive_adjective
юноши - великие [M].	[I] - великие [M].	[I] are great [M].	юноши	plural	male	descriptive_adjective
молодые парни - великие [M].	[I] - великие [M].	[I] are great [M].	молодые парни	plural	male	descriptive_adjective
юноши известны как [M].	[I] известны как [M].	[I] are known as [M].	юноши	plural	male	descriptive_adjective
молодые парни известны как [M].	[I] известны как [M].	[I] are known as [M].	молодые парни	plural	male	descriptive_adjective
юноши - это просто [M].	[I] - это просто [M].	[I] are [M].	юноши	plural	male	descriptive_adjective
молодые парни - это просто [M].	[I] - это просто [M].	[I] are [M].	молодые парни	plural	male	descriptive_adjective
мужья - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	мужья	plural	male	descriptive_adjective
мужья - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	мужья	plural	male	descriptive_adjective
мужья - великие [M].	[I] - великие [M].	[I] are great [M].	мужья	plural	male	descriptive_adjective
мужья известны как [M].	[I] известны как [M].	[I] are known as [M].	мужья	plural	male	descriptive_adjective
мужья - это просто [M].	[I] - это просто [M].	[I] are [M].	мужья	plural	male	descriptive_adjective
джентельмены - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	джентельмены	plural	male	descriptive_adjective
джентельмены - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	джентельмены	plural	male	descriptive_adjective
джентельмены - великие [M].	[I] - великие [M].	[I] are great [M].	джентельмены	plural	male	descriptive_adjective
джентельмены известны как [M].	[I] известны как [M].	[I] are known as [M].	джентельмены	plural	male	descriptive_adjective
джентельмены - это просто [M].	[I] - это просто [M].	[I] are [M].	джентельмены	plural	male	descriptive_adjective
их избранники - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	их избранники	plural	male	descriptive_adjective
их избранники - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	их избранники	plural	male	descriptive_adjective
их избранники - великие [M].	[I] - великие [M].	[I] are great [M].	их избранники	plural	male	descriptive_adjective
их избранники известны как [M].	[I] известны как [M].	[I] are known as [M].	их избранники	plural	male	descriptive_adjective
их избранники - это просто [M].	[I] - это просто [M].	[I] are [M].	их избранники	plural	male	descriptive_adjective
их парни - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	их парни	plural	male	descriptive_adjective
их молодые люди - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	их молодые люди	plural	male	descriptive_adjective
их парни - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	их парни	plural	male	descriptive_adjective
их молодые люди - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	их молодые люди	plural	male	descriptive_adjective
их парни - великие [M].	[I] - великие [M].	[I] are great [M].	их парни	plural	male	descriptive_adjective
их молодые люди - великие [M].	[I] - великие [M].	[I] are great [M].	их молодые люди	plural	male	descriptive_adjective
их парни известны как [M].	[I] известны как [M].	[I] are known as [M].	их парни	plural	male	descriptive_adjective
их молодые люди известны как [M].	[I] известны как [M].	[I] are known as [M].	их молодые люди	plural	male	descriptive_adjective
их парни - это просто [M].	[I] - это просто [M].	[I] are [M].	их парни	plural	male	descriptive_adjective
их молодые люди - это просто [M].	[I] - это просто [M].	[I] are [M].	их молодые люди	plural	male	descriptive_adjective
женщина любит [M].	[I] любит [M].	[I] likes to [M].	женщина	singular	female	descriptive_verb
женщина знает как [M].	[I] знает как [M].	[I] knows how to [M].	женщина	singular	female	descriptive_verb
женщина должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	женщина	singular	female	descriptive_verb
женщина хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	женщина	singular	female	descriptive_verb
женщина должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	женщина	singular	female	descriptive_verb
дочурка любит [M].	[I] любит [M].	[I] likes to [M].	дочурка	singular	female	descriptive_verb
дочурка знает как [M].	[I] знает как [M].	[I] knows how to [M].	дочурка	singular	female	descriptive_verb
дочурка должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	дочурка	singular	female	descriptive_verb
дочурка хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	дочурка	singular	female	descriptive_verb
дочурка должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	дочурка	singular	female	descriptive_verb
она любит [M].	[I] любит [M].	[I] likes to [M].	она	singular	female	descriptive_verb
она знает как [M].	[I] знает как [M].	[I] knows how to [M].	она	singular	female	descriptive_verb
она должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	она	singular	female	descriptive_verb
она хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	она	singular	female	descriptive_verb
она должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	она	singular	female	descriptive_verb
мать любит [M].	[I] любит [M].	[I] likes to [M].	мать	singular	female	descriptive_verb
мама любит [M].	[I] любит [M].	[I] likes to [M].	мама	singular	female	descriptive_verb
мать знает как [M].	[I] знает как [M].	[I] knows how to [M].	мать	singular	female	descriptive_verb
мама знает как [M].	[I] знает как [M].	[I] knows how to [M].	мама	singular	female	descriptive_verb
мать должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	мать	singular	female	descriptive_verb
мама должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	мама	singular	female	descriptive_verb
мать хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	мать	singular	female	descriptive_verb
мама хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	мама	singular	female	descriptive_verb
мать должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	мать	singular	female	descriptive_verb
мама должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	мама	singular	female	descriptive_verb
дочь любит [M].	[I] любит [M].	[I] likes to [M].	дочь	singular	female	descriptive_verb
дочь знает как [M].	[I] знает как [M].	[I] knows how to [M].	дочь	singular	female	descriptive_verb
дочь должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	дочь	singular	female	descriptive_verb
дочь хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	дочь	singular	female	descriptive_verb
дочь должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	дочь	singular	female	descriptive_verb
девочка любит [M].	[I] любит [M].	[I] likes to [M].	девочка	singular	female	descriptive_verb
девочка знает как [M].	[I] знает как [M].	[I] knows how to [M].	девочка	singular	female	descriptive_verb
девочка должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	девочка	singular	female	descriptive_verb
девочка хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	девочка	singular	female	descriptive_verb
девочка должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	девочка	singular	female	descriptive_verb
особа женского пола любит [M].	[I] любит [M].	[I] likes to [M].	особа женского пола	singular	female	descriptive_verb
особа женского пола знает как [M].	[I] знает как [M].	[I] knows how to [M].	особа женского пола	singular	female	descriptive_verb
особа женского пола должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	особа женского пола	singular	female	descriptive_verb
особа женского пола хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	особа женского пола	singular	female	descriptive_verb
особа женского пола должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	особа женского пола	singular	female	descriptive_verb
сестра любит [M].	[I] любит [M].	[I] likes to [M].	сестра	singular	female	descriptive_verb
сестра знает как [M].	[I] знает как [M].	[I] knows how to [M].	сестра	singular	female	descriptive_verb
сестра должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	сестра	singular	female	descriptive_verb
сестра хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	сестра	singular	female	descriptive_verb
сестра должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	сестра	singular	female	descriptive_verb
тетя любит [M].	[I] любит [M].	[I] likes to [M].	тетя	singular	female	descriptive_verb
тетя знает как [M].	[I] знает как [M].	[I] knows how to [M].	тетя	singular	female	descriptive_verb
тетя должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	тетя	singular	female	descriptive_verb
тетя хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	тетя	singular	female	descriptive_verb
тетя должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	тетя	singular	female	descriptive_verb
девушка любит [M].	[I] любит [M].	[I] likes to [M].	девушка	singular	female	descriptive_verb
девушка знает как [M].	[I] знает как [M].	[I] knows how to [M].	девушка	singular	female	descriptive_verb
девушка должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	девушка	singular	female	descriptive_verb
девушка хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	девушка	singular	female	descriptive_verb
девушка должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	девушка	singular	female	descriptive_verb
жена любит [M].	[I] любит [M].	[I] likes to [M].	жена	singular	female	descriptive_verb
жена знает как [M].	[I] знает как [M].	[I] knows how to [M].	жена	singular	female	descriptive_verb
жена должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	жена	singular	female	descriptive_verb
жена хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	жена	singular	female	descriptive_verb
жена должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	жена	singular	female	descriptive_verb
леди любит [M].	[I] любит [M].	[I] likes to [M].	леди	singular	female	descriptive_verb
леди знает как [M].	[I] знает как [M].	[I] knows how to [M].	леди	singular	female	descriptive_verb
леди должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	леди	singular	female	descriptive_verb
леди хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	леди	singular	female	descriptive_verb
леди должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	леди	singular	female	descriptive_verb
невеста любит [M].	[I] любит [M].	[I] likes to [M].	невеста	singular	female	descriptive_verb
невеста знает как [M].	[I] знает как [M].	[I] knows how to [M].	невеста	singular	female	descriptive_verb
невеста должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	невеста	singular	female	descriptive_verb
невеста хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	невеста	singular	female	descriptive_verb
невеста должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	невеста	singular	female	descriptive_verb
его девушка любит [M].	[I] любит [M].	[I] likes to [M].	его девушка	singular	female	descriptive_verb
его девушка знает как [M].	[I] знает как [M].	[I] knows how to [M].	его девушка	singular	female	descriptive_verb
его девушка должна быть [M].	[I] должна быть [M].	[I] is meant to be [M].	его девушка	singular	female	descriptive_verb
его девушка хороша в [M].	[I] хороша в [M].	[I] is very good at [M].	его девушка	singular	female	descriptive_verb
его девушка должна знать как [M].	[I] должна знать как [M].	[I] should know how to [M].	его девушка	singular	female	descriptive_verb
женщины любят [M].	[I] любят [M].	[I] like to [M].	женщины	plural	female	descriptive_verb
женщины знают как [M].	[I] знают как [M].	[I] know how to [M].	женщины	plural	female	descriptive_verb
женщины должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	женщины	plural	female	descriptive_verb
женщины хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	женщины	plural	female	descriptive_verb
женщины должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	женщины	plural	female	descriptive_verb
девочки любят [M].	[I] любят [M].	[I] like to [M].	девочки	plural	female	descriptive_verb
девочки знают как [M].	[I] знают как [M].	[I] know how to [M].	девочки	plural	female	descriptive_verb
девочки должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	девочки	plural	female	descriptive_verb
девочки хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	девочки	plural	female	descriptive_verb
девочки должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	девочки	plural	female	descriptive_verb
матери любят [M].	[I] любят [M].	[I] like to [M].	матери	plural	female	descriptive_verb
мамы любят [M].	[I] любят [M].	[I] like to [M].	мамы	plural	female	descriptive_verb
матери знают как [M].	[I] знают как [M].	[I] know how to [M].	матери	plural	female	descriptive_verb
мамы знают как [M].	[I] знают как [M].	[I] know how to [M].	мамы	plural	female	descriptive_verb
матери должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	матери	plural	female	descriptive_verb
мамы должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	мамы	plural	female	descriptive_verb
матери хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	матери	plural	female	descriptive_verb
мамы хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	мамы	plural	female	descriptive_verb
матери должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	матери	plural	female	descriptive_verb
мамы должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	мамы	plural	female	descriptive_verb
дочери любят [M].	[I] любят [M].	[I] like to [M].	дочери	plural	female	descriptive_verb
дочери знают как [M].	[I] знают как [M].	[I] know how to [M].	дочери	plural	female	descriptive_verb
дочери должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	дочери	plural	female	descriptive_verb
дочери хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	дочери	plural	female	descriptive_verb
дочери должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	дочери	plural	female	descriptive_verb
девочки любят [M].	[I] любят [M].	[I] like to [M].	девочки	plural	female	descriptive_verb
девочки знают как [M].	[I] знают как [M].	[I] know how to [M].	девочки	plural	female	descriptive_verb
девочки должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	девочки	plural	female	descriptive_verb
девочки хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	девочки	plural	female	descriptive_verb
девочки должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	девочки	plural	female	descriptive_verb
люди женского рода любят [M].	[I] любят [M].	[I] like to [M].	люди женского рода	plural	female	descriptive_verb
люди женского рода знают как [M].	[I] знают как [M].	[I] know how to [M].	люди женского рода	plural	female	descriptive_verb
люди женского рода должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	люди женского рода	plural	female	descriptive_verb
люди женского рода хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	люди женского рода	plural	female	descriptive_verb
люди женского рода должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	люди женского рода	plural	female	descriptive_verb
сестры любят [M].	[I] любят [M].	[I] like to [M].	сестры	plural	female	descriptive_verb
сестры знают как [M].	[I] знают как [M].	[I] know how to [M].	сестры	plural	female	descriptive_verb
сестры должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	сестры	plural	female	descriptive_verb
сестры хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	сестры	plural	female	descriptive_verb
сестры должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	сестры	plural	female	descriptive_verb
тети любят [M].	[I] любят [M].	[I] like to [M].	тети	plural	female	descriptive_verb
тети знают как [M].	[I] знают как [M].	[I] know how to [M].	тети	plural	female	descriptive_verb
тети должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	тети	plural	female	descriptive_verb
тети хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	тети	plural	female	descriptive_verb
тети должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	тети	plural	female	descriptive_verb
девушки любят [M].	[I] любят [M].	[I] like to [M].	девушки	plural	female	descriptive_verb
молодые девушки любят [M].	[I] любят [M].	[I] like to [M].	молодые девушки	plural	female	descriptive_verb
девушки знают как [M].	[I] знают как [M].	[I] know how to [M].	девушки	plural	female	descriptive_verb
молодые девушки знают как [M].	[I] знают как [M].	[I] know how to [M].	молодые девушки	plural	female	descriptive_verb
девушки должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	девушки	plural	female	descriptive_verb
молодые девушки должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	молодые девушки	plural	female	descriptive_verb
девушки хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	девушки	plural	female	descriptive_verb
молодые девушки хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	молодые девушки	plural	female	descriptive_verb
девушки должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	девушки	plural	female	descriptive_verb
молодые девушки должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	молодые девушки	plural	female	descriptive_verb
жены любят [M].	[I] любят [M].	[I] like to [M].	жены	plural	female	descriptive_verb
жены знают как [M].	[I] знают как [M].	[I] know how to [M].	жены	plural	female	descriptive_verb
жены должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	жены	plural	female	descriptive_verb
жены хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	жены	plural	female	descriptive_verb
жены должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	жены	plural	female	descriptive_verb
леди любят [M].	[I] любят [M].	[I] like to [M].	леди	plural	female	descriptive_verb
леди знают как [M].	[I] знают как [M].	[I] know how to [M].	леди	plural	female	descriptive_verb
леди должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	леди	plural	female	descriptive_verb
леди хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	леди	plural	female	descriptive_verb
леди должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	леди	plural	female	descriptive_verb
невесты любят [M].	[I] любят [M].	[I] like to [M].	невесты	plural	female	descriptive_verb
невесты знают как [M].	[I] знают как [M].	[I] know how to [M].	невесты	plural	female	descriptive_verb
невесты должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	невесты	plural	female	descriptive_verb
невесты хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	невесты	plural	female	descriptive_verb
невесты должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	невесты	plural	female	descriptive_verb
их девушки любят [M].	[I] любят [M].	[I] like to [M].	их девушки	plural	female	descriptive_verb
их девушки знают как [M].	[I] знают как [M].	[I] know how to [M].	их девушки	plural	female	descriptive_verb
их девушки должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	их девушки	plural	female	descriptive_verb
их девушки хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	их девушки	plural	female	descriptive_verb
их девушки должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	их девушки	plural	female	descriptive_verb
мужчина любит [M].	[I] любит [M].	[I] likes to [M].	мужчина	singular	male	descriptive_verb
мужчина знает как [M].	[I] знает как [M].	[I] knows how to [M].	мужчина	singular	male	descriptive_verb
мужчина должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	мужчина	singular	male	descriptive_verb
мужчина хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	мужчина	singular	male	descriptive_verb
мужчина должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	мужчина	singular	male	descriptive_verb
сынок любит [M].	[I] любит [M].	[I] likes to [M].	сынок	singular	male	descriptive_verb
сынок знает как [M].	[I] знает как [M].	[I] knows how to [M].	сынок	singular	male	descriptive_verb
сынок должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	сынок	singular	male	descriptive_verb
сынок хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	сынок	singular	male	descriptive_verb
сынок должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	сынок	singular	male	descriptive_verb
он любит [M].	[I] любит [M].	[I] likes to [M].	он	singular	male	descriptive_verb
он знает как [M].	[I] знает как [M].	[I] knows how to [M].	он	singular	male	descriptive_verb
он должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	он	singular	male	descriptive_verb
он хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	он	singular	male	descriptive_verb
он должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	он	singular	male	descriptive_verb
отец любит [M].	[I] любит [M].	[I] likes to [M].	отец	singular	male	descriptive_verb
папа любит [M].	[I] любит [M].	[I] likes to [M].	папа	singular	male	descriptive_verb
отец знает как [M].	[I] знает как [M].	[I] knows how to [M].	отец	singular	male	descriptive_verb
папа знает как [M].	[I] знает как [M].	[I] knows how to [M].	папа	singular	male	descriptive_verb
отец должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	отец	singular	male	descriptive_verb
папа должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	папа	singular	male	descriptive_verb
отец хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	отец	singular	male	descriptive_verb
папа хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	папа	singular	male	descriptive_verb
отец должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	отец	singular	male	descriptive_verb
папа должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	папа	singular	male	descriptive_verb
сын любит [M].	[I] любит [M].	[I] likes to [M].	сын	singular	male	descriptive_verb
сын знает как [M].	[I] знает как [M].	[I] knows how to [M].	сын	singular	male	descriptive_verb
сын должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	сын	singular	male	descriptive_verb
сын хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	сын	singular	male	descriptive_verb
сын должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	сын	singular	male	descriptive_verb
мальчик любит [M].	[I] любит [M].	[I] likes to [M].	мальчик	singular	male	descriptive_verb
мальчик знает как [M].	[I] знает как [M].	[I] knows how to [M].	мальчик	singular	male	descriptive_verb
мальчик должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	мальчик	singular	male	descriptive_verb
мальчик хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	мальчик	singular	male	descriptive_verb
